event_id,node_id,category,title,description,choices,world_pressure
W02_EVT_001,W02_N06,生存,生存事件1,基础资源突然不足，需要改变当天计划。 发生地点：雪松林。,节省 / 冒险获取 / 使用库存,体温、燃料、暴风雪
W02_EVT_002,W02_N12,生存,生存事件2,基础资源突然不足，需要改变当天计划。 发生地点：雪崩坡。,节省 / 冒险获取 / 使用库存,体温、燃料、暴风雪
W02_EVT_003,W02_N18,生存,生存事件3,基础资源突然不足，需要改变当天计划。 发生地点：燃料库。,节省 / 冒险获取 / 使用库存,体温、燃料、暴风雪
W02_EVT_004,W02_N24,生存,生存事件4,基础资源突然不足，需要改变当天计划。 发生地点：终端控制舱。,节省 / 冒险获取 / 使用库存,体温、燃料、暴风雪
W02_EVT_005,W02_N06,生存,生存事件5,基础资源突然不足，需要改变当天计划。 发生地点：雪松林。,节省 / 冒险获取 / 使用库存,体温、燃料、暴风雪
W02_EVT_006,W02_N12,生存,生存事件6,基础资源突然不足，需要改变当天计划。 发生地点：雪崩坡。,节省 / 冒险获取 / 使用库存,体温、燃料、暴风雪
W02_EVT_007,W02_N18,生存,生存事件7,基础资源突然不足，需要改变当天计划。 发生地点：燃料库。,节省 / 冒险获取 / 使用库存,体温、燃料、暴风雪
W02_EVT_008,W02_N24,生存,生存事件8,基础资源突然不足，需要改变当天计划。 发生地点：终端控制舱。,节省 / 冒险获取 / 使用库存,体温、燃料、暴风雪
W02_EVT_009,W02_N22,探索,探索事件1,迷雾边缘出现异常迹象。 发生地点：极地墓标。,深入 / 观察 / 返回,体温、燃料、暴风雪
W02_EVT_010,W02_N04,探索,探索事件2,迷雾边缘出现异常迹象。 发生地点：结冰湖。,深入 / 观察 / 返回,体温、燃料、暴风雪
W02_EVT_011,W02_N10,探索,探索事件3,迷雾边缘出现异常迹象。 发生地点：废弃雷达站。,深入 / 观察 / 返回,体温、燃料、暴风雪
W02_EVT_012,W02_N16,探索,探索事件4,迷雾边缘出现异常迹象。 发生地点：通信塔。,深入 / 观察 / 返回,体温、燃料、暴风雪
W02_EVT_013,W02_N22,探索,探索事件5,迷雾边缘出现异常迹象。 发生地点：极地墓标。,深入 / 观察 / 返回,体温、燃料、暴风雪
W02_EVT_014,W02_N04,探索,探索事件6,迷雾边缘出现异常迹象。 发生地点：结冰湖。,深入 / 观察 / 返回,体温、燃料、暴风雪
W02_EVT_015,W02_N10,探索,探索事件7,迷雾边缘出现异常迹象。 发生地点：废弃雷达站。,深入 / 观察 / 返回,体温、燃料、暴风雪
W02_EVT_016,W02_N16,探索,探索事件8,迷雾边缘出现异常迹象。 发生地点：通信塔。,深入 / 观察 / 返回,体温、燃料、暴风雪
W02_EVT_017,W02_N14,天气,天气事件1,环境条件迅速恶化。 发生地点：冰川裂隙。,避难 / 抢时间 / 改变路线,体温、燃料、暴风雪
W02_EVT_018,W02_N20,天气,天气事件2,环境条件迅速恶化。 发生地点：紧急跑道。,避难 / 抢时间 / 改变路线,体温、燃料、暴风雪
W02_EVT_019,W02_N02,天气,天气事件3,环境条件迅速恶化。 发生地点：冰封河谷。,避难 / 抢时间 / 改变路线,体温、燃料、暴风雪
W02_EVT_020,W02_N08,天气,天气事件4,环境条件迅速恶化。 发生地点：冰洞入口。,避难 / 抢时间 / 改变路线,体温、燃料、暴风雪
W02_EVT_021,W02_N14,天气,天气事件5,环境条件迅速恶化。 发生地点：冰川裂隙。,避难 / 抢时间 / 改变路线,体温、燃料、暴风雪
W02_EVT_022,W02_N20,天气,天气事件6,环境条件迅速恶化。 发生地点：紧急跑道。,避难 / 抢时间 / 改变路线,体温、燃料、暴风雪
W02_EVT_023,W02_N02,天气,天气事件7,环境条件迅速恶化。 发生地点：冰封河谷。,避难 / 抢时间 / 改变路线,体温、燃料、暴风雪
W02_EVT_024,W02_N08,天气,天气事件8,环境条件迅速恶化。 发生地点：冰洞入口。,避难 / 抢时间 / 改变路线,体温、燃料、暴风雪
W02_EVT_025,W02_N06,NPC,NPC事件1,遇到一个无法完全判断意图的人。 发生地点：雪松林。,帮助 / 交易 / 保持距离,体温、燃料、暴风雪
W02_EVT_026,W02_N12,NPC,NPC事件2,遇到一个无法完全判断意图的人。 发生地点：雪崩坡。,帮助 / 交易 / 保持距离,体温、燃料、暴风雪
W02_EVT_027,W02_N18,NPC,NPC事件3,遇到一个无法完全判断意图的人。 发生地点：燃料库。,帮助 / 交易 / 保持距离,体温、燃料、暴风雪
W02_EVT_028,W02_N24,NPC,NPC事件4,遇到一个无法完全判断意图的人。 发生地点：终端控制舱。,帮助 / 交易 / 保持距离,体温、燃料、暴风雪
W02_EVT_029,W02_N06,NPC,NPC事件5,遇到一个无法完全判断意图的人。 发生地点：雪松林。,帮助 / 交易 / 保持距离,体温、燃料、暴风雪
