node_id,name,risk,resources,note
W05_N01,事故公路,极高,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N02,废弃加油站,高,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N03,干涸河床,中,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N04,岩石阴影,低,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N05,小型绿洲,极高,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N06,沙丘海,高,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N07,旧货车,中,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N08,废弃矿井,低,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N09,风蚀峡谷,极高,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N10,水井,高,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N11,商队旧营,中,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N12,输水管线,低,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N13,气象站,极高,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N14,盐碱地,高,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N15,远古遗迹,中,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N16,地下蓄水池,低,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N17,沙暴避难所,极高,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N18,通信塔,高,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N19,废弃机场,中,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N20,车辆维修棚,低,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N21,峡谷高地,极高,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N22,夜行路线,高,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N23,流沙区,中,水、热浪、昼夜温差相关资源/线索,世界专属节点
W05_N24,边境公路,低,水、热浪、昼夜温差相关资源/线索,世界专属节点
