event_id,node_id,category,title,description,choices,world_pressure
W04_EVT_001,W04_N06,生存,生存事件1,基础资源突然不足，需要改变当天计划。 发生地点：地下停车场。,节省 / 冒险获取 / 使用库存,感染值、NPC信任、资源冲突
W04_EVT_002,W04_N12,生存,生存事件2,基础资源突然不足，需要改变当天计划。 发生地点：地铁入口。,节省 / 冒险获取 / 使用库存,感染值、NPC信任、资源冲突
W04_EVT_003,W04_N18,生存,生存事件3,基础资源突然不足，需要改变当天计划。 发生地点：实验室核心。,节省 / 冒险获取 / 使用库存,感染值、NPC信任、资源冲突
W04_EVT_004,W04_N24,生存,生存事件4,基础资源突然不足，需要改变当天计划。 发生地点：河岸码头。,节省 / 冒险获取 / 使用库存,感染值、NPC信任、资源冲突
W04_EVT_005,W04_N06,生存,生存事件5,基础资源突然不足，需要改变当天计划。 发生地点：地下停车场。,节省 / 冒险获取 / 使用库存,感染值、NPC信任、资源冲突
W04_EVT_006,W04_N12,生存,生存事件6,基础资源突然不足，需要改变当天计划。 发生地点：地铁入口。,节省 / 冒险获取 / 使用库存,感染值、NPC信任、资源冲突
W04_EVT_007,W04_N18,生存,生存事件7,基础资源突然不足，需要改变当天计划。 发生地点：实验室核心。,节省 / 冒险获取 / 使用库存,感染值、NPC信任、资源冲突
W04_EVT_008,W04_N24,生存,生存事件8,基础资源突然不足，需要改变当天计划。 发生地点：河岸码头。,节省 / 冒险获取 / 使用库存,感染值、NPC信任、资源冲突
W04_EVT_009,W04_N22,探索,探索事件1,迷雾边缘出现异常迹象。 发生地点：撤离广场。,深入 / 观察 / 返回,感染值、NPC信任、资源冲突
W04_EVT_010,W04_N04,探索,探索事件2,迷雾边缘出现异常迹象。 发生地点：社区诊所。,深入 / 观察 / 返回,感染值、NPC信任、资源冲突
W04_EVT_011,W04_N10,探索,探索事件3,迷雾边缘出现异常迹象。 发生地点：物流仓库。,深入 / 观察 / 返回,感染值、NPC信任、资源冲突
W04_EVT_012,W04_N16,探索,探索事件4,迷雾边缘出现异常迹象。 发生地点：广播中心。,深入 / 观察 / 返回,感染值、NPC信任、资源冲突
W04_EVT_013,W04_N22,探索,探索事件5,迷雾边缘出现异常迹象。 发生地点：撤离广场。,深入 / 观察 / 返回,感染值、NPC信任、资源冲突
