route_id,name,stage,description
R1,加入撤离车队,1,通过探索发现「加入撤离车队」相关第一条线索。
R1,加入撤离车队,2,确认路线可行性并获得至少一个关键地点。
R1,加入撤离车队,3,解决本世界核心压力：感染值、NPC信任、资源冲突。
R1,加入撤离车队,4,收集路线所需资源，并面对一次替代选择。
R1,加入撤离车队,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R1,加入撤离车队,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R2,恢复军方通讯,1,通过探索发现「恢复军方通讯」相关第一条线索。
R2,恢复军方通讯,2,确认路线可行性并获得至少一个关键地点。
R2,恢复军方通讯,3,解决本世界核心压力：感染值、NPC信任、资源冲突。
R2,恢复军方通讯,4,收集路线所需资源，并面对一次替代选择。
R2,恢复军方通讯,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R2,恢复军方通讯,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R3,寻找治疗方案,1,通过探索发现「寻找治疗方案」相关第一条线索。
R3,寻找治疗方案,2,确认路线可行性并获得至少一个关键地点。
R3,寻找治疗方案,3,解决本世界核心压力：感染值、NPC信任、资源冲突。
R3,寻找治疗方案,4,收集路线所需资源，并面对一次替代选择。
R3,寻找治疗方案,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R3,寻找治疗方案,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R4,建立幸存者社区,1,通过探索发现「建立幸存者社区」相关第一条线索。
R4,建立幸存者社区,2,确认路线可行性并获得至少一个关键地点。
R4,建立幸存者社区,3,解决本世界核心压力：感染值、NPC信任、资源冲突。
R4,建立幸存者社区,4,收集路线所需资源，并面对一次替代选择。
R4,建立幸存者社区,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R4,建立幸存者社区,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
