route_id,name,stage,description
R1,沿旧铁路离开,1,通过探索发现「沿旧铁路离开」相关第一条线索。
R1,沿旧铁路离开,2,确认路线可行性并获得至少一个关键地点。
R1,沿旧铁路离开,3,解决本世界核心压力：光源、精神、方向。
R1,沿旧铁路离开,4,收集路线所需资源，并面对一次替代选择。
R1,沿旧铁路离开,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R1,沿旧铁路离开,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R2,点亮晨光塔,1,通过探索发现「点亮晨光塔」相关第一条线索。
R2,点亮晨光塔,2,确认路线可行性并获得至少一个关键地点。
R2,点亮晨光塔,3,解决本世界核心压力：光源、精神、方向。
R2,点亮晨光塔,4,收集路线所需资源，并面对一次替代选择。
R2,点亮晨光塔,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R2,点亮晨光塔,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R3,追随村落线索,1,通过探索发现「追随村落线索」相关第一条线索。
R3,追随村落线索,2,确认路线可行性并获得至少一个关键地点。
R3,追随村落线索,3,解决本世界核心压力：光源、精神、方向。
R3,追随村落线索,4,收集路线所需资源，并面对一次替代选择。
R3,追随村落线索,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R3,追随村落线索,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R4,调查森林真相,1,通过探索发现「调查森林真相」相关第一条线索。
R4,调查森林真相,2,确认路线可行性并获得至少一个关键地点。
R4,调查森林真相,3,解决本世界核心压力：光源、精神、方向。
R4,调查森林真相,4,收集路线所需资源，并面对一次替代选择。
R4,调查森林真相,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R4,调查森林真相,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
