npc_id,name,archetype,personality,ability,spawn,route_effect
W01_NPC01,林默,工程师,理性、谨慎,无线电/发电机,受伤后出现在第二失事点,可降低无线电路线零件门槛
W01_NPC02,周岚,医护人员,冷静、共情,医疗/疾病,研究站宿舍或废弃营,可识别感染与药物
W01_NPC03,阿海,渔民,直接、现实,捕鱼/海流,北部海滩,提供木筏海流信息
W01_NPC04,许哲,户外教练,自信、冒险,探索/狩猎,野猪林附近,能解锁危险捷径
W01_NPC05,沈妍,记者,好奇、怀疑,调查/信息,研究站附近,秘密路线关键
W01_NPC06,老顾,退休船员,固执、经验丰富,船只/天气,旧码头,旧船路线关键
W01_NPC07,陈凯,普通幸存者,焦虑、善良,无专精,随机营地,高信任后可承担营地工作
W01_NPC08,韩森,不明身份者,沉默、戒备,研究站知识,地下入口附近,可能撒谎；秘密路线
W01_NPC09,陆遥,学生,聪明、体弱,记忆/笔记,飞机尾翼区,提供乘员名单与黑匣子线索
W01_NPC10,叶青,植物研究者,谨慎、专注,草药/毒物,红树林,解锁解毒与草药判断
W01_NPC11,罗骁,维修工,务实、脾气差,机械/船,搁浅摩托艇,旧船路线备选
W01_NPC12,“守望者”,未知,不可预测,世界秘密,极低概率特殊事件,隐藏结局 NPC
