event_id,node_id,category,title,description,choices,world_pressure
W08_EVT_001,W08_N06,生存,生存事件1,基础资源突然不足，需要改变当天计划。 发生地点：控制室A。,节省 / 冒险获取 / 使用库存,规则异常、记忆、身份
W08_EVT_002,W08_N12,生存,生存事件2,基础资源突然不足，需要改变当天计划。 发生地点：服务通道。,节省 / 冒险获取 / 使用库存,规则异常、记忆、身份
W08_EVT_003,W08_N18,生存,生存事件3,基础资源突然不足，需要改变当天计划。 发生地点：行为观测室。,节省 / 冒险获取 / 使用库存,规则异常、记忆、身份
W08_EVT_004,W08_N24,生存,生存事件4,基础资源突然不足，需要改变当天计划。 发生地点：真实出口。,节省 / 冒险获取 / 使用库存,规则异常、记忆、身份
W08_EVT_005,W08_N06,生存,生存事件5,基础资源突然不足，需要改变当天计划。 发生地点：控制室A。,节省 / 冒险获取 / 使用库存,规则异常、记忆、身份
W08_EVT_006,W08_N12,生存,生存事件6,基础资源突然不足，需要改变当天计划。 发生地点：服务通道。,节省 / 冒险获取 / 使用库存,规则异常、记忆、身份
W08_EVT_007,W08_N18,生存,生存事件7,基础资源突然不足，需要改变当天计划。 发生地点：行为观测室。,节省 / 冒险获取 / 使用库存,规则异常、记忆、身份
W08_EVT_008,W08_N24,生存,生存事件8,基础资源突然不足，需要改变当天计划。 发生地点：真实出口。,节省 / 冒险获取 / 使用库存,规则异常、记忆、身份
W08_EVT_009,W08_N22,探索,探索事件1,迷雾边缘出现异常迹象。 发生地点：模拟边界。,深入 / 观察 / 返回,规则异常、记忆、身份
W08_EVT_010,W08_N04,探索,探索事件2,迷雾边缘出现异常迹象。 发生地点：测试森林。,深入 / 观察 / 返回,规则异常、记忆、身份
W08_EVT_011,W08_N10,探索,探索事件3,迷雾边缘出现异常迹象。 发生地点：错误节点。,深入 / 观察 / 返回,规则异常、记忆、身份
W08_EVT_012,W08_N16,探索,探索事件4,迷雾边缘出现异常迹象。 发生地点：主服务器。,深入 / 观察 / 返回,规则异常、记忆、身份
W08_EVT_013,W08_N22,探索,探索事件5,迷雾边缘出现异常迹象。 发生地点：模拟边界。,深入 / 观察 / 返回,规则异常、记忆、身份
W08_EVT_014,W08_N04,探索,探索事件6,迷雾边缘出现异常迹象。 发生地点：测试森林。,深入 / 观察 / 返回,规则异常、记忆、身份
W08_EVT_015,W08_N10,探索,探索事件7,迷雾边缘出现异常迹象。 发生地点：错误节点。,深入 / 观察 / 返回,规则异常、记忆、身份
W08_EVT_016,W08_N16,探索,探索事件8,迷雾边缘出现异常迹象。 发生地点：主服务器。,深入 / 观察 / 返回,规则异常、记忆、身份
W08_EVT_017,W08_N14,天气,天气事件1,环境条件迅速恶化。 发生地点：备份舱。,避难 / 抢时间 / 改变路线,规则异常、记忆、身份
W08_EVT_018,W08_N20,天气,天气事件2,环境条件迅速恶化。 发生地点：紧急出口。,避难 / 抢时间 / 改变路线,规则异常、记忆、身份
W08_EVT_019,W08_N02,天气,天气事件3,环境条件迅速恶化。 发生地点：模拟海滩。,避难 / 抢时间 / 改变路线,规则异常、记忆、身份
W08_EVT_020,W08_N08,天气,天气事件4,环境条件迅速恶化。 发生地点：编号宿舍。,避难 / 抢时间 / 改变路线,规则异常、记忆、身份
W08_EVT_021,W08_N14,天气,天气事件5,环境条件迅速恶化。 发生地点：备份舱。,避难 / 抢时间 / 改变路线,规则异常、记忆、身份
W08_EVT_022,W08_N20,天气,天气事件6,环境条件迅速恶化。 发生地点：紧急出口。,避难 / 抢时间 / 改变路线,规则异常、记忆、身份
W08_EVT_023,W08_N02,天气,天气事件7,环境条件迅速恶化。 发生地点：模拟海滩。,避难 / 抢时间 / 改变路线,规则异常、记忆、身份
W08_EVT_024,W08_N08,天气,天气事件8,环境条件迅速恶化。 发生地点：编号宿舍。,避难 / 抢时间 / 改变路线,规则异常、记忆、身份
W08_EVT_025,W08_N06,NPC,NPC事件1,遇到一个无法完全判断意图的人。 发生地点：控制室A。,帮助 / 交易 / 保持距离,规则异常、记忆、身份
W08_EVT_026,W08_N12,NPC,NPC事件2,遇到一个无法完全判断意图的人。 发生地点：服务通道。,帮助 / 交易 / 保持距离,规则异常、记忆、身份
W08_EVT_027,W08_N18,NPC,NPC事件3,遇到一个无法完全判断意图的人。 发生地点：行为观测室。,帮助 / 交易 / 保持距离,规则异常、记忆、身份
W08_EVT_028,W08_N24,NPC,NPC事件4,遇到一个无法完全判断意图的人。 发生地点：真实出口。,帮助 / 交易 / 保持距离,规则异常、记忆、身份
W08_EVT_029,W08_N06,NPC,NPC事件5,遇到一个无法完全判断意图的人。 发生地点：控制室A。,帮助 / 交易 / 保持距离,规则异常、记忆、身份
W08_EVT_030,W08_N12,NPC,NPC事件6,遇到一个无法完全判断意图的人。 发生地点：服务通道。,帮助 / 交易 / 保持距离,规则异常、记忆、身份
W08_EVT_031,W08_N18,NPC,NPC事件7,遇到一个无法完全判断意图的人。 发生地点：行为观测室。,帮助 / 交易 / 保持距离,规则异常、记忆、身份
W08_EVT_032,W08_N24,NPC,NPC事件8,遇到一个无法完全判断意图的人。 发生地点：真实出口。,帮助 / 交易 / 保持距离,规则异常、记忆、身份
W08_EVT_033,W08_N22,路线,路线事件1,发现与长期逃生目标有关的信息。 发生地点：模拟边界。,推进 / 记录 / 转向,规则异常、记忆、身份
W08_EVT_034,W08_N04,路线,路线事件2,发现与长期逃生目标有关的信息。 发生地点：测试森林。,推进 / 记录 / 转向,规则异常、记忆、身份
W08_EVT_035,W08_N10,路线,路线事件3,发现与长期逃生目标有关的信息。 发生地点：错误节点。,推进 / 记录 / 转向,规则异常、记忆、身份
W08_EVT_036,W08_N16,路线,路线事件4,发现与长期逃生目标有关的信息。 发生地点：主服务器。,推进 / 记录 / 转向,规则异常、记忆、身份
W08_EVT_037,W08_N22,路线,路线事件5,发现与长期逃生目标有关的信息。 发生地点：模拟边界。,推进 / 记录 / 转向,规则异常、记忆、身份
W08_EVT_038,W08_N04,路线,路线事件6,发现与长期逃生目标有关的信息。 发生地点：测试森林。,推进 / 记录 / 转向,规则异常、记忆、身份
W08_EVT_039,W08_N10,路线,路线事件7,发现与长期逃生目标有关的信息。 发生地点：错误节点。,推进 / 记录 / 转向,规则异常、记忆、身份
W08_EVT_040,W08_N16,路线,路线事件8,发现与长期逃生目标有关的信息。 发生地点：主服务器。,推进 / 记录 / 转向,规则异常、记忆、身份
