death_id,name,type,revivable,trigger
D01,严重脱水,普通,是,Hydration归零并持续恶化
D02,长期饥饿,普通,是,Hunger归零后生命耗尽
D03,失血过多,普通,是,流血未处理
D04,感染恶化,普通,是,感染状态未治疗
D05,蛇毒,普通,是,中毒计时结束
D06,食物中毒并发脱水,普通,是,错误食物+水不足
D07,野猪袭击,普通,是,危险事件失败
D08,悬崖坠落,普通,是,高风险攀爬失败
D09,洞穴坍塌,普通,是,洞穴事件失败
D10,潮汐困死,普通,是,海蚀洞/潮汐洞错误时机
D11,沼泽陷落,普通,是,泥沼失败
D12,暴雨失温,普通,是,湿透+夜晚+无庇护
D13,雷击事故,普通,是,雷暴高地行为
D14,火灾,普通,是,燃料储藏棚错误操作
D15,误食毒果,普通,是,未识别植物
D16,夜间迷失,普通,是,低精神/无火把危险探索
D17,被困研究站,普通,是,电力/门禁错误
D18,发电机事故,普通,是,维修失败
D19,动物陷阱反伤,普通,是,陷阱事件
D20,严重精神崩溃,普通,是,Sanity长期极低
D21,海上失踪,终局,否,木筏/旧船终局失败
D22,船只爆燃,终局,否,旧船燃料处理失败
D23,救援信号事故,终局,否,山顶火灾终局
D24,真相被掩埋,终局,否,秘密路线失败终局
