event_id,node_id,category,title,description,choices,world_pressure
W05_EVT_001,W05_N06,生存,生存事件1,基础资源突然不足，需要改变当天计划。 发生地点：沙丘海。,节省 / 冒险获取 / 使用库存,水、热浪、昼夜温差
W05_EVT_002,W05_N12,生存,生存事件2,基础资源突然不足，需要改变当天计划。 发生地点：输水管线。,节省 / 冒险获取 / 使用库存,水、热浪、昼夜温差
W05_EVT_003,W05_N18,生存,生存事件3,基础资源突然不足，需要改变当天计划。 发生地点：通信塔。,节省 / 冒险获取 / 使用库存,水、热浪、昼夜温差
W05_EVT_004,W05_N24,生存,生存事件4,基础资源突然不足，需要改变当天计划。 发生地点：边境公路。,节省 / 冒险获取 / 使用库存,水、热浪、昼夜温差
W05_EVT_005,W05_N06,生存,生存事件5,基础资源突然不足，需要改变当天计划。 发生地点：沙丘海。,节省 / 冒险获取 / 使用库存,水、热浪、昼夜温差
W05_EVT_006,W05_N12,生存,生存事件6,基础资源突然不足，需要改变当天计划。 发生地点：输水管线。,节省 / 冒险获取 / 使用库存,水、热浪、昼夜温差
W05_EVT_007,W05_N18,生存,生存事件7,基础资源突然不足，需要改变当天计划。 发生地点：通信塔。,节省 / 冒险获取 / 使用库存,水、热浪、昼夜温差
W05_EVT_008,W05_N24,生存,生存事件8,基础资源突然不足，需要改变当天计划。 发生地点：边境公路。,节省 / 冒险获取 / 使用库存,水、热浪、昼夜温差
W05_EVT_009,W05_N22,探索,探索事件1,迷雾边缘出现异常迹象。 发生地点：夜行路线。,深入 / 观察 / 返回,水、热浪、昼夜温差
W05_EVT_010,W05_N04,探索,探索事件2,迷雾边缘出现异常迹象。 发生地点：岩石阴影。,深入 / 观察 / 返回,水、热浪、昼夜温差
W05_EVT_011,W05_N10,探索,探索事件3,迷雾边缘出现异常迹象。 发生地点：水井。,深入 / 观察 / 返回,水、热浪、昼夜温差
W05_EVT_012,W05_N16,探索,探索事件4,迷雾边缘出现异常迹象。 发生地点：地下蓄水池。,深入 / 观察 / 返回,水、热浪、昼夜温差
W05_EVT_013,W05_N22,探索,探索事件5,迷雾边缘出现异常迹象。 发生地点：夜行路线。,深入 / 观察 / 返回,水、热浪、昼夜温差
W05_EVT_014,W05_N04,探索,探索事件6,迷雾边缘出现异常迹象。 发生地点：岩石阴影。,深入 / 观察 / 返回,水、热浪、昼夜温差
W05_EVT_015,W05_N10,探索,探索事件7,迷雾边缘出现异常迹象。 发生地点：水井。,深入 / 观察 / 返回,水、热浪、昼夜温差
W05_EVT_016,W05_N16,探索,探索事件8,迷雾边缘出现异常迹象。 发生地点：地下蓄水池。,深入 / 观察 / 返回,水、热浪、昼夜温差
W05_EVT_017,W05_N14,天气,天气事件1,环境条件迅速恶化。 发生地点：盐碱地。,避难 / 抢时间 / 改变路线,水、热浪、昼夜温差
W05_EVT_018,W05_N20,天气,天气事件2,环境条件迅速恶化。 发生地点：车辆维修棚。,避难 / 抢时间 / 改变路线,水、热浪、昼夜温差
W05_EVT_019,W05_N02,天气,天气事件3,环境条件迅速恶化。 发生地点：废弃加油站。,避难 / 抢时间 / 改变路线,水、热浪、昼夜温差
W05_EVT_020,W05_N08,天气,天气事件4,环境条件迅速恶化。 发生地点：废弃矿井。,避难 / 抢时间 / 改变路线,水、热浪、昼夜温差
W05_EVT_021,W05_N14,天气,天气事件5,环境条件迅速恶化。 发生地点：盐碱地。,避难 / 抢时间 / 改变路线,水、热浪、昼夜温差
W05_EVT_022,W05_N20,天气,天气事件6,环境条件迅速恶化。 发生地点：车辆维修棚。,避难 / 抢时间 / 改变路线,水、热浪、昼夜温差
W05_EVT_023,W05_N02,天气,天气事件7,环境条件迅速恶化。 发生地点：废弃加油站。,避难 / 抢时间 / 改变路线,水、热浪、昼夜温差
W05_EVT_024,W05_N08,天气,天气事件8,环境条件迅速恶化。 发生地点：废弃矿井。,避难 / 抢时间 / 改变路线,水、热浪、昼夜温差
W05_EVT_025,W05_N06,NPC,NPC事件1,遇到一个无法完全判断意图的人。 发生地点：沙丘海。,帮助 / 交易 / 保持距离,水、热浪、昼夜温差
W05_EVT_026,W05_N12,NPC,NPC事件2,遇到一个无法完全判断意图的人。 发生地点：输水管线。,帮助 / 交易 / 保持距离,水、热浪、昼夜温差
W05_EVT_027,W05_N18,NPC,NPC事件3,遇到一个无法完全判断意图的人。 发生地点：通信塔。,帮助 / 交易 / 保持距离,水、热浪、昼夜温差
W05_EVT_028,W05_N24,NPC,NPC事件4,遇到一个无法完全判断意图的人。 发生地点：边境公路。,帮助 / 交易 / 保持距离,水、热浪、昼夜温差
W05_EVT_029,W05_N06,NPC,NPC事件5,遇到一个无法完全判断意图的人。 发生地点：沙丘海。,帮助 / 交易 / 保持距离,水、热浪、昼夜温差
W05_EVT_030,W05_N12,NPC,NPC事件6,遇到一个无法完全判断意图的人。 发生地点：输水管线。,帮助 / 交易 / 保持距离,水、热浪、昼夜温差
W05_EVT_031,W05_N18,NPC,NPC事件7,遇到一个无法完全判断意图的人。 发生地点：通信塔。,帮助 / 交易 / 保持距离,水、热浪、昼夜温差
W05_EVT_032,W05_N24,NPC,NPC事件8,遇到一个无法完全判断意图的人。 发生地点：边境公路。,帮助 / 交易 / 保持距离,水、热浪、昼夜温差
W05_EVT_033,W05_N22,路线,路线事件1,发现与长期逃生目标有关的信息。 发生地点：夜行路线。,推进 / 记录 / 转向,水、热浪、昼夜温差
W05_EVT_034,W05_N04,路线,路线事件2,发现与长期逃生目标有关的信息。 发生地点：岩石阴影。,推进 / 记录 / 转向,水、热浪、昼夜温差
W05_EVT_035,W05_N10,路线,路线事件3,发现与长期逃生目标有关的信息。 发生地点：水井。,推进 / 记录 / 转向,水、热浪、昼夜温差
W05_EVT_036,W05_N16,路线,路线事件4,发现与长期逃生目标有关的信息。 发生地点：地下蓄水池。,推进 / 记录 / 转向,水、热浪、昼夜温差
W05_EVT_037,W05_N22,路线,路线事件5,发现与长期逃生目标有关的信息。 发生地点：夜行路线。,推进 / 记录 / 转向,水、热浪、昼夜温差
W05_EVT_038,W05_N04,路线,路线事件6,发现与长期逃生目标有关的信息。 发生地点：岩石阴影。,推进 / 记录 / 转向,水、热浪、昼夜温差
W05_EVT_039,W05_N10,路线,路线事件7,发现与长期逃生目标有关的信息。 发生地点：水井。,推进 / 记录 / 转向,水、热浪、昼夜温差
W05_EVT_040,W05_N16,路线,路线事件8,发现与长期逃生目标有关的信息。 发生地点：地下蓄水池。,推进 / 记录 / 转向,水、热浪、昼夜温差
W05_EVT_041,W05_N14,秘密,秘密事件1,出现与世界常识不一致的线索。 发生地点：盐碱地。,调查 / 保存证据 / 忽略,水、热浪、昼夜温差
W05_EVT_042,W05_N20,秘密,秘密事件2,出现与世界常识不一致的线索。 发生地点：车辆维修棚。,调查 / 保存证据 / 忽略,水、热浪、昼夜温差
W05_EVT_043,W05_N02,秘密,秘密事件3,出现与世界常识不一致的线索。 发生地点：废弃加油站。,调查 / 保存证据 / 忽略,水、热浪、昼夜温差
W05_EVT_044,W05_N08,秘密,秘密事件4,出现与世界常识不一致的线索。 发生地点：废弃矿井。,调查 / 保存证据 / 忽略,水、热浪、昼夜温差
W05_EVT_045,W05_N14,秘密,秘密事件5,出现与世界常识不一致的线索。 发生地点：盐碱地。,调查 / 保存证据 / 忽略,水、热浪、昼夜温差
W05_EVT_046,W05_N20,秘密,秘密事件6,出现与世界常识不一致的线索。 发生地点：车辆维修棚。,调查 / 保存证据 / 忽略,水、热浪、昼夜温差
W05_EVT_047,W05_N02,秘密,秘密事件7,出现与世界常识不一致的线索。 发生地点：废弃加油站。,调查 / 保存证据 / 忽略,水、热浪、昼夜温差
W05_EVT_048,W05_N08,秘密,秘密事件8,出现与世界常识不一致的线索。 发生地点：废弃矿井。,调查 / 保存证据 / 忽略,水、热浪、昼夜温差
