node_id,name,region,risk,resources,notes
W01_N01,坠机海滩,起始,低,飞机残骸、海水、漂流物,出生节点；飞机路线与黑匣子线索
W01_N02,浅滩,海岸,低,贝类、螃蟹、漂流木,低风险补给
W01_N03,椰林边缘,森林,低,椰子、树枝、藤蔓,早期食水节点
W01_N04,飞机尾翼区,残骸,中,金属、布料、座椅箱,可发现黑匣子痕迹
W01_N05,破碎礁石,海岸,中,鱼、金属碎片,涨潮时风险提高
W01_N06,潮汐洞口,洞穴,中,贝壳、淡水滴,需要时间判断潮汐
W01_N07,南部密林,森林,中,木材、药草、野果,毒蛇事件权重较高
W01_N08,干涸溪床,内陆,低,石头、痕迹,雨后变成水路
W01_N09,淡水溪流,淡水,低,水、鱼、草药,重要战略节点
W01_N10,瀑布潭,淡水,中,水、鱼、洞穴入口,隐藏后路
W01_N11,废弃猎人营,营地,中,工具、绳子、笔记,NPC/历史线索
W01_N12,断桥谷地,内陆,中,木材、矿石,需要绳索或绕路
W01_N13,高地草坡,山地,低,视野、草药,揭示周边迷雾
W01_N14,旧信号石堆,山地,中,线索、可燃物,信号火路线前置
W01_N15,北部海滩,海岸,低,漂流物、鱼,可发现沉船
W01_N16,沉船外滩,沉船,高,金属、帆布、绳索,潮汐影响
W01_N17,沉船内部,沉船,高,指南针、工具、发动机零件,需要砍刀/低潮
W01_N18,红树林,湿地,中,药草、鱼、藤蔓,蚊虫/感染
W01_N19,泥沼,湿地,高,稀有草药,陷落风险
W01_N20,石灰岩洞,洞穴,高,矿石、蝙蝠、淡水,需要火把
W01_N21,洞穴深井,洞穴,高,稀有线索,绳索门槛
W01_N22,地下湖,洞穴,高,水、特殊鱼,隐藏研究入口线索
W01_N23,西部断崖,山地,高,视野、鸟巢,攀爬风险
W01_N24,山顶平台,山地,高,信号位置,信号火终局节点
W01_N25,雷击枯林,森林,中,木炭、燧石,雷暴后刷新
W01_N26,巨石阵地,遗迹,中,刻痕、线索,神秘路线
W01_N27,藤蔓峡谷,内陆,中,藤蔓、药草,捷径条件
W01_N28,旧木屋,建筑,中,床、罐头、日记,可临时营地
W01_N29,广播塔基座,建筑,高,电线、天线部件,无线电路线
W01_N30,废弃研究站外门,研究站,高,金属门、标识,需要钥匙/旁路
W01_N31,研究站宿舍,研究站,中,药品、日志,NPC线索
W01_N32,研究站实验室,研究站,高,抗生素、电池、研究日志,世界真相
W01_N33,研究站控制室,研究站,高,频率表、发电机,无线电高级阶段
W01_N34,地下通道入口,秘密,高,锁门、管线,秘密路线
W01_N35,地下观测室,秘密,极高,档案、设备,隐藏结局
W01_N36,旧码头,海岸,中,木材、船零件,旧船路线
W01_N37,搁浅摩托艇,海岸,高,发动机、油箱,修船路线
W01_N38,燃料储藏棚,建筑,高,燃料,有火灾风险
W01_N39,海蚀洞,洞穴,高,盐、沉船碎片,潮汐变化
W01_N40,东部礁湖,海岸,中,鱼、海龟,食物稳定点
W01_N41,野猪林,森林,高,肉、皮,狩猎危险
W01_N42,蛇谷,森林,极高,药草、稀有材料,解毒剂路线
W01_N43,鸟巢崖,山地,高,蛋、绳索材料,跌落风险
W01_N44,石滩墓地,海岸,中,遗留物、身份牌,剧情与精神
W01_N45,第二处失事点,残骸,高,行李、药品、乘员线索,NPC可能出现
W01_N46,临时救援标记,海岸,中,脚印、烟灰,正式救援路线
W01_N47,隐蔽山泉,淡水,低,安全水,需要地图/探索发现
W01_N48,旧观测哨,建筑,中,望远镜、天气记录,可预测天气
W01_N49,风暴倒木区,森林,中,大量木材,风暴后生成
W01_N50,漂流箱聚集湾,海岸,中,随机工业物资,暴雨/风暴后刷新
W01_N51,海龟产卵滩,海岸,低,蛋、生态事件,道德选择
W01_N52,废弃捕猎坑,内陆,高,动物、旧工具,陷阱风险
W01_N53,无名坟墓,秘密,中,身份线索,世界故事
W01_N54,石门遗迹,遗迹,高,符号、隐藏入口,秘密路线
W01_N55,地下发电机房,秘密,极高,发电机、燃料系统,控制室联动
W01_N56,紧急天线阵列,秘密,极高,高功率通讯,特殊救援结局
W01_N57,北岸深水点,海岸,高,远洋鱼、航线观察,木筏判断
W01_N58,海流观察点,山地,中,海流信息,木筏路线关键
W01_N59,风向石柱,山地,中,风向信息,信号/木筏辅助
W01_N60,无灯灯塔,建筑,高,旧灯具、航海记录,旧船与等待救援交叉
