route_id,name,stage,description
R1,修复雪地车,1,通过探索发现「修复雪地车」相关第一条线索。
R1,修复雪地车,2,确认路线可行性并获得至少一个关键地点。
R1,修复雪地车,3,解决本世界核心压力：体温、燃料、暴风雪。
R1,修复雪地车,4,收集路线所需资源，并面对一次替代选择。
R1,修复雪地车,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R1,修复雪地车,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R2,恢复气象站通讯,1,通过探索发现「恢复气象站通讯」相关第一条线索。
R2,恢复气象站通讯,2,确认路线可行性并获得至少一个关键地点。
R2,恢复气象站通讯,3,解决本世界核心压力：体温、燃料、暴风雪。
R2,恢复气象站通讯,4,收集路线所需资源，并面对一次替代选择。
R2,恢复气象站通讯,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R2,恢复气象站通讯,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R3,等待补给机,1,通过探索发现「等待补给机」相关第一条线索。
R3,等待补给机,2,确认路线可行性并获得至少一个关键地点。
R3,等待补给机,3,解决本世界核心压力：体温、燃料、暴风雪。
R3,等待补给机,4,收集路线所需资源，并面对一次替代选择。
R3,等待补给机,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R3,等待补给机,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R4,穿越冰川,1,通过探索发现「穿越冰川」相关第一条线索。
R4,穿越冰川,2,确认路线可行性并获得至少一个关键地点。
R4,穿越冰川,3,解决本世界核心压力：体温、燃料、暴风雪。
R4,穿越冰川,4,收集路线所需资源，并面对一次替代选择。
R4,穿越冰川,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R4,穿越冰川,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
