route_id,name,stage,description
R1,修复渡船,1,通过探索发现「修复渡船」相关第一条线索。
R1,修复渡船,2,确认路线可行性并获得至少一个关键地点。
R1,修复渡船,3,解决本世界核心压力：火山活动等级、毒气、路线变化。
R1,修复渡船,4,收集路线所需资源，并面对一次替代选择。
R1,修复渡船,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R1,修复渡船,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R2,恢复观测站信号,1,通过探索发现「恢复观测站信号」相关第一条线索。
R2,恢复观测站信号,2,确认路线可行性并获得至少一个关键地点。
R2,恢复观测站信号,3,解决本世界核心压力：火山活动等级、毒气、路线变化。
R2,恢复观测站信号,4,收集路线所需资源，并面对一次替代选择。
R2,恢复观测站信号,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R2,恢复观测站信号,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R3,跨岛撤离,1,通过探索发现「跨岛撤离」相关第一条线索。
R3,跨岛撤离,2,确认路线可行性并获得至少一个关键地点。
R3,跨岛撤离,3,解决本世界核心压力：火山活动等级、毒气、路线变化。
R3,跨岛撤离,4,收集路线所需资源，并面对一次替代选择。
R3,跨岛撤离,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R3,跨岛撤离,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R4,深入火山研究设施,1,通过探索发现「深入火山研究设施」相关第一条线索。
R4,深入火山研究设施,2,确认路线可行性并获得至少一个关键地点。
R4,深入火山研究设施,3,解决本世界核心压力：火山活动等级、毒气、路线变化。
R4,深入火山研究设施,4,收集路线所需资源，并面对一次替代选择。
R4,深入火山研究设施,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R4,深入火山研究设施,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
