node_id,name,risk,resources,note
W04_N01,封锁检查站,极高,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N02,废弃公寓,高,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N03,便利店,中,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N04,社区诊所,低,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N05,综合医院,极高,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N06,地下停车场,高,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N07,学校避难点,中,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N08,旧警局,低,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N09,药房,极高,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N10,物流仓库,高,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N11,污水处理站,中,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N12,地铁入口,低,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N13,地铁站台,极高,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N14,临时营地,高,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N15,军方围栏,中,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N16,广播中心,低,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N17,实验室外区,极高,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N18,实验室核心,高,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N19,隔离病房,中,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N20,消防站,低,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N21,天桥据点,极高,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N22,撤离广场,高,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N23,感染街区,中,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
W04_N24,河岸码头,低,感染值、NPC信任、资源冲突相关资源/线索,世界专属节点
