route_id,name,stage,description
R1,修复车辆,1,通过探索发现「修复车辆」相关第一条线索。
R1,修复车辆,2,确认路线可行性并获得至少一个关键地点。
R1,修复车辆,3,解决本世界核心压力：水、热浪、昼夜温差。
R1,修复车辆,4,收集路线所需资源，并面对一次替代选择。
R1,修复车辆,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R1,修复车辆,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R2,跟随商队,1,通过探索发现「跟随商队」相关第一条线索。
R2,跟随商队,2,确认路线可行性并获得至少一个关键地点。
R2,跟随商队,3,解决本世界核心压力：水、热浪、昼夜温差。
R2,跟随商队,4,收集路线所需资源，并面对一次替代选择。
R2,跟随商队,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R2,跟随商队,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R3,恢复通信塔,1,通过探索发现「恢复通信塔」相关第一条线索。
R3,恢复通信塔,2,确认路线可行性并获得至少一个关键地点。
R3,恢复通信塔,3,解决本世界核心压力：水、热浪、昼夜温差。
R3,恢复通信塔,4,收集路线所需资源，并面对一次替代选择。
R3,恢复通信塔,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R3,恢复通信塔,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R4,穿越沙海,1,通过探索发现「穿越沙海」相关第一条线索。
R4,穿越沙海,2,确认路线可行性并获得至少一个关键地点。
R4,穿越沙海,3,解决本世界核心压力：水、热浪、昼夜温差。
R4,穿越沙海,4,收集路线所需资源，并面对一次替代选择。
R4,穿越沙海,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R4,穿越沙海,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
