route_id,name,stage,description
R1,退出模拟,1,通过探索发现「退出模拟」相关第一条线索。
R1,退出模拟,2,确认路线可行性并获得至少一个关键地点。
R1,退出模拟,3,解决本世界核心压力：规则异常、记忆、身份。
R1,退出模拟,4,收集路线所需资源，并面对一次替代选择。
R1,退出模拟,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R1,退出模拟,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R2,接管系统,1,通过探索发现「接管系统」相关第一条线索。
R2,接管系统,2,确认路线可行性并获得至少一个关键地点。
R2,接管系统,3,解决本世界核心压力：规则异常、记忆、身份。
R2,接管系统,4,收集路线所需资源，并面对一次替代选择。
R2,接管系统,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R2,接管系统,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R3,接受循环,1,通过探索发现「接受循环」相关第一条线索。
R3,接受循环,2,确认路线可行性并获得至少一个关键地点。
R3,接受循环,3,解决本世界核心压力：规则异常、记忆、身份。
R3,接受循环,4,收集路线所需资源，并面对一次替代选择。
R3,接受循环,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R3,接受循环,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R4,破坏实验,1,通过探索发现「破坏实验」相关第一条线索。
R4,破坏实验,2,确认路线可行性并获得至少一个关键地点。
R4,破坏实验,3,解决本世界核心压力：规则异常、记忆、身份。
R4,破坏实验,4,收集路线所需资源，并面对一次替代选择。
R4,破坏实验,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R4,破坏实验,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
