event_id,node_id,category,title,description,choices,world_pressure
W06_EVT_001,W06_N06,生存,生存事件1,基础资源突然不足，需要改变当天计划。 发生地点：沉船码头。,节省 / 冒险获取 / 使用库存,潮汐、燃料、净水
W06_EVT_002,W06_N12,生存,生存事件2,基础资源突然不足，需要改变当天计划。 发生地点：地下商场。,节省 / 冒险获取 / 使用库存,潮汐、燃料、净水
W06_EVT_003,W06_N18,生存,生存事件3,基础资源突然不足，需要改变当天计划。 发生地点：海上农场。,节省 / 冒险获取 / 使用库存,潮汐、燃料、净水
W06_EVT_004,W06_N24,生存,生存事件4,基础资源突然不足，需要改变当天计划。 发生地点：城市最高楼。,节省 / 冒险获取 / 使用库存,潮汐、燃料、净水
W06_EVT_005,W06_N06,生存,生存事件5,基础资源突然不足，需要改变当天计划。 发生地点：沉船码头。,节省 / 冒险获取 / 使用库存,潮汐、燃料、净水
W06_EVT_006,W06_N12,生存,生存事件6,基础资源突然不足，需要改变当天计划。 发生地点：地下商场。,节省 / 冒险获取 / 使用库存,潮汐、燃料、净水
W06_EVT_007,W06_N18,生存,生存事件7,基础资源突然不足，需要改变当天计划。 发生地点：海上农场。,节省 / 冒险获取 / 使用库存,潮汐、燃料、净水
W06_EVT_008,W06_N24,生存,生存事件8,基础资源突然不足，需要改变当天计划。 发生地点：城市最高楼。,节省 / 冒险获取 / 使用库存,潮汐、燃料、净水
W06_EVT_009,W06_N22,探索,探索事件1,迷雾边缘出现异常迹象。 发生地点：港口仓库。,深入 / 观察 / 返回,潮汐、燃料、净水
W06_EVT_010,W06_N04,探索,探索事件2,迷雾边缘出现异常迹象。 发生地点：漂浮市场。,深入 / 观察 / 返回,潮汐、燃料、净水
W06_EVT_011,W06_N10,探索,探索事件3,迷雾边缘出现异常迹象。 发生地点：废弃游艇。,深入 / 观察 / 返回,潮汐、燃料、净水
W06_EVT_012,W06_N16,探索,探索事件4,迷雾边缘出现异常迹象。 发生地点：净水站。,深入 / 观察 / 返回,潮汐、燃料、净水
W06_EVT_013,W06_N22,探索,探索事件5,迷雾边缘出现异常迹象。 发生地点：港口仓库。,深入 / 观察 / 返回,潮汐、燃料、净水
W06_EVT_014,W06_N04,探索,探索事件6,迷雾边缘出现异常迹象。 发生地点：漂浮市场。,深入 / 观察 / 返回,潮汐、燃料、净水
W06_EVT_015,W06_N10,探索,探索事件7,迷雾边缘出现异常迹象。 发生地点：废弃游艇。,深入 / 观察 / 返回,潮汐、燃料、净水
W06_EVT_016,W06_N16,探索,探索事件8,迷雾边缘出现异常迹象。 发生地点：净水站。,深入 / 观察 / 返回,潮汐、燃料、净水
W06_EVT_017,W06_N14,天气,天气事件1,环境条件迅速恶化。 发生地点：海警站。,避难 / 抢时间 / 改变路线,潮汐、燃料、净水
W06_EVT_018,W06_N20,天气,天气事件2,环境条件迅速恶化。 发生地点：旧医院上层。,避难 / 抢时间 / 改变路线,潮汐、燃料、净水
W06_EVT_019,W06_N02,天气,天气事件3,环境条件迅速恶化。 发生地点：淹没街区。,避难 / 抢时间 / 改变路线,潮汐、燃料、净水
W06_EVT_020,W06_N08,天气,天气事件4,环境条件迅速恶化。 发生地点：高架桥。,避难 / 抢时间 / 改变路线,潮汐、燃料、净水
W06_EVT_021,W06_N14,天气,天气事件5,环境条件迅速恶化。 发生地点：海警站。,避难 / 抢时间 / 改变路线,潮汐、燃料、净水
W06_EVT_022,W06_N20,天气,天气事件6,环境条件迅速恶化。 发生地点：旧医院上层。,避难 / 抢时间 / 改变路线,潮汐、燃料、净水
W06_EVT_023,W06_N02,天气,天气事件7,环境条件迅速恶化。 发生地点：淹没街区。,避难 / 抢时间 / 改变路线,潮汐、燃料、净水
W06_EVT_024,W06_N08,天气,天气事件8,环境条件迅速恶化。 发生地点：高架桥。,避难 / 抢时间 / 改变路线,潮汐、燃料、净水
W06_EVT_025,W06_N06,NPC,NPC事件1,遇到一个无法完全判断意图的人。 发生地点：沉船码头。,帮助 / 交易 / 保持距离,潮汐、燃料、净水
W06_EVT_026,W06_N12,NPC,NPC事件2,遇到一个无法完全判断意图的人。 发生地点：地下商场。,帮助 / 交易 / 保持距离,潮汐、燃料、净水
W06_EVT_027,W06_N18,NPC,NPC事件3,遇到一个无法完全判断意图的人。 发生地点：海上农场。,帮助 / 交易 / 保持距离,潮汐、燃料、净水
W06_EVT_028,W06_N24,NPC,NPC事件4,遇到一个无法完全判断意图的人。 发生地点：城市最高楼。,帮助 / 交易 / 保持距离,潮汐、燃料、净水
W06_EVT_029,W06_N06,NPC,NPC事件5,遇到一个无法完全判断意图的人。 发生地点：沉船码头。,帮助 / 交易 / 保持距离,潮汐、燃料、净水
W06_EVT_030,W06_N12,NPC,NPC事件6,遇到一个无法完全判断意图的人。 发生地点：地下商场。,帮助 / 交易 / 保持距离,潮汐、燃料、净水
W06_EVT_031,W06_N18,NPC,NPC事件7,遇到一个无法完全判断意图的人。 发生地点：海上农场。,帮助 / 交易 / 保持距离,潮汐、燃料、净水
W06_EVT_032,W06_N24,NPC,NPC事件8,遇到一个无法完全判断意图的人。 发生地点：城市最高楼。,帮助 / 交易 / 保持距离,潮汐、燃料、净水
W06_EVT_033,W06_N22,路线,路线事件1,发现与长期逃生目标有关的信息。 发生地点：港口仓库。,推进 / 记录 / 转向,潮汐、燃料、净水
W06_EVT_034,W06_N04,路线,路线事件2,发现与长期逃生目标有关的信息。 发生地点：漂浮市场。,推进 / 记录 / 转向,潮汐、燃料、净水
W06_EVT_035,W06_N10,路线,路线事件3,发现与长期逃生目标有关的信息。 发生地点：废弃游艇。,推进 / 记录 / 转向,潮汐、燃料、净水
W06_EVT_036,W06_N16,路线,路线事件4,发现与长期逃生目标有关的信息。 发生地点：净水站。,推进 / 记录 / 转向,潮汐、燃料、净水
