event_id,node_id,category,title,description,choices,world_pressure
W03_EVT_001,W03_N06,生存,生存事件1,基础资源突然不足，需要改变当天计划。 发生地点：灰烬森林。,节省 / 冒险获取 / 使用库存,火山活动等级、毒气、路线变化
W03_EVT_002,W03_N12,生存,生存事件2,基础资源突然不足，需要改变当天计划。 发生地点：火山口外缘。,节省 / 冒险获取 / 使用库存,火山活动等级、毒气、路线变化
W03_EVT_003,W03_N18,生存,生存事件3,基础资源突然不足，需要改变当天计划。 发生地点：熔岩冷却带。,节省 / 冒险获取 / 使用库存,火山活动等级、毒气、路线变化
W03_EVT_004,W03_N24,生存,生存事件4,基础资源突然不足，需要改变当天计划。 发生地点：观测峰。,节省 / 冒险获取 / 使用库存,火山活动等级、毒气、路线变化
W03_EVT_005,W03_N06,生存,生存事件5,基础资源突然不足，需要改变当天计划。 发生地点：灰烬森林。,节省 / 冒险获取 / 使用库存,火山活动等级、毒气、路线变化
W03_EVT_006,W03_N12,生存,生存事件6,基础资源突然不足，需要改变当天计划。 发生地点：火山口外缘。,节省 / 冒险获取 / 使用库存,火山活动等级、毒气、路线变化
W03_EVT_007,W03_N18,生存,生存事件7,基础资源突然不足，需要改变当天计划。 发生地点：熔岩冷却带。,节省 / 冒险获取 / 使用库存,火山活动等级、毒气、路线变化
W03_EVT_008,W03_N24,生存,生存事件8,基础资源突然不足，需要改变当天计划。 发生地点：观测峰。,节省 / 冒险获取 / 使用库存,火山活动等级、毒气、路线变化
W03_EVT_009,W03_N22,探索,探索事件1,迷雾边缘出现异常迹象。 发生地点：岛间浅滩。,深入 / 观察 / 返回,火山活动等级、毒气、路线变化
W03_EVT_010,W03_N04,探索,探索事件2,迷雾边缘出现异常迹象。 发生地点：地热泉。,深入 / 观察 / 返回,火山活动等级、毒气、路线变化
W03_EVT_011,W03_N10,探索,探索事件3,迷雾边缘出现异常迹象。 发生地点：旧渡船。,深入 / 观察 / 返回,火山活动等级、毒气、路线变化
W03_EVT_012,W03_N16,探索,探索事件4,迷雾边缘出现异常迹象。 发生地点：通信桅杆。,深入 / 观察 / 返回,火山活动等级、毒气、路线变化
W03_EVT_013,W03_N22,探索,探索事件5,迷雾边缘出现异常迹象。 发生地点：岛间浅滩。,深入 / 观察 / 返回,火山活动等级、毒气、路线变化
W03_EVT_014,W03_N04,探索,探索事件6,迷雾边缘出现异常迹象。 发生地点：地热泉。,深入 / 观察 / 返回,火山活动等级、毒气、路线变化
W03_EVT_015,W03_N10,探索,探索事件7,迷雾边缘出现异常迹象。 发生地点：旧渡船。,深入 / 观察 / 返回,火山活动等级、毒气、路线变化
W03_EVT_016,W03_N16,探索,探索事件8,迷雾边缘出现异常迹象。 发生地点：通信桅杆。,深入 / 观察 / 返回,火山活动等级、毒气、路线变化
W03_EVT_017,W03_N14,天气,天气事件1,环境条件迅速恶化。 发生地点：蓄水池。,避难 / 抢时间 / 改变路线,火山活动等级、毒气、路线变化
W03_EVT_018,W03_N20,天气,天气事件2,环境条件迅速恶化。 发生地点：研究营。,避难 / 抢时间 / 改变路线,火山活动等级、毒气、路线变化
W03_EVT_019,W03_N02,天气,天气事件3,环境条件迅速恶化。 发生地点：椰林营地。,避难 / 抢时间 / 改变路线,火山活动等级、毒气、路线变化
W03_EVT_020,W03_N08,天气,天气事件4,环境条件迅速恶化。 发生地点：硫磺谷。,避难 / 抢时间 / 改变路线,火山活动等级、毒气、路线变化
W03_EVT_021,W03_N14,天气,天气事件5,环境条件迅速恶化。 发生地点：蓄水池。,避难 / 抢时间 / 改变路线,火山活动等级、毒气、路线变化
W03_EVT_022,W03_N20,天气,天气事件6,环境条件迅速恶化。 发生地点：研究营。,避难 / 抢时间 / 改变路线,火山活动等级、毒气、路线变化
W03_EVT_023,W03_N02,天气,天气事件7,环境条件迅速恶化。 发生地点：椰林营地。,避难 / 抢时间 / 改变路线,火山活动等级、毒气、路线变化
W03_EVT_024,W03_N08,天气,天气事件8,环境条件迅速恶化。 发生地点：硫磺谷。,避难 / 抢时间 / 改变路线,火山活动等级、毒气、路线变化
W03_EVT_025,W03_N06,NPC,NPC事件1,遇到一个无法完全判断意图的人。 发生地点：灰烬森林。,帮助 / 交易 / 保持距离,火山活动等级、毒气、路线变化
W03_EVT_026,W03_N12,NPC,NPC事件2,遇到一个无法完全判断意图的人。 发生地点：火山口外缘。,帮助 / 交易 / 保持距离,火山活动等级、毒气、路线变化
W03_EVT_027,W03_N18,NPC,NPC事件3,遇到一个无法完全判断意图的人。 发生地点：熔岩冷却带。,帮助 / 交易 / 保持距离,火山活动等级、毒气、路线变化
W03_EVT_028,W03_N24,NPC,NPC事件4,遇到一个无法完全判断意图的人。 发生地点：观测峰。,帮助 / 交易 / 保持距离,火山活动等级、毒气、路线变化
W03_EVT_029,W03_N06,NPC,NPC事件5,遇到一个无法完全判断意图的人。 发生地点：灰烬森林。,帮助 / 交易 / 保持距离,火山活动等级、毒气、路线变化
W03_EVT_030,W03_N12,NPC,NPC事件6,遇到一个无法完全判断意图的人。 发生地点：火山口外缘。,帮助 / 交易 / 保持距离,火山活动等级、毒气、路线变化
W03_EVT_031,W03_N18,NPC,NPC事件7,遇到一个无法完全判断意图的人。 发生地点：熔岩冷却带。,帮助 / 交易 / 保持距离,火山活动等级、毒气、路线变化
W03_EVT_032,W03_N24,NPC,NPC事件8,遇到一个无法完全判断意图的人。 发生地点：观测峰。,帮助 / 交易 / 保持距离,火山活动等级、毒气、路线变化
W03_EVT_033,W03_N22,路线,路线事件1,发现与长期逃生目标有关的信息。 发生地点：岛间浅滩。,推进 / 记录 / 转向,火山活动等级、毒气、路线变化
