event_id,node_id,category,title,description,choices,world_pressure
W07_EVT_001,W07_N06,生存,生存事件1,基础资源突然不足，需要改变当天计划。 发生地点：石桥。,节省 / 冒险获取 / 使用库存,光源、精神、方向
W07_EVT_002,W07_N12,生存,生存事件2,基础资源突然不足，需要改变当天计划。 发生地点：铁路遗迹。,节省 / 冒险获取 / 使用库存,光源、精神、方向
W07_EVT_003,W07_N18,生存,生存事件3,基础资源突然不足，需要改变当天计划。 发生地点：守林站。,节省 / 冒险获取 / 使用库存,光源、精神、方向
W07_EVT_004,W07_N24,生存,生存事件4,基础资源突然不足，需要改变当天计划。 发生地点：晨光塔。,节省 / 冒险获取 / 使用库存,光源、精神、方向
W07_EVT_005,W07_N06,生存,生存事件5,基础资源突然不足，需要改变当天计划。 发生地点：石桥。,节省 / 冒险获取 / 使用库存,光源、精神、方向
W07_EVT_006,W07_N12,生存,生存事件6,基础资源突然不足，需要改变当天计划。 发生地点：铁路遗迹。,节省 / 冒险获取 / 使用库存,光源、精神、方向
W07_EVT_007,W07_N18,生存,生存事件7,基础资源突然不足，需要改变当天计划。 发生地点：守林站。,节省 / 冒险获取 / 使用库存,光源、精神、方向
W07_EVT_008,W07_N24,生存,生存事件8,基础资源突然不足，需要改变当天计划。 发生地点：晨光塔。,节省 / 冒险获取 / 使用库存,光源、精神、方向
W07_EVT_009,W07_N22,探索,探索事件1,迷雾边缘出现异常迹象。 发生地点：深林祭坛。,深入 / 观察 / 返回,光源、精神、方向
W07_EVT_010,W07_N04,探索,探索事件2,迷雾边缘出现异常迹象。 发生地点：黑松林。,深入 / 观察 / 返回,光源、精神、方向
W07_EVT_011,W07_N10,探索,探索事件3,迷雾边缘出现异常迹象。 发生地点：旧村落。,深入 / 观察 / 返回,光源、精神、方向
W07_EVT_012,W07_N16,探索,探索事件4,迷雾边缘出现异常迹象。 发生地点：倒置路标。,深入 / 观察 / 返回,光源、精神、方向
W07_EVT_013,W07_N22,探索,探索事件5,迷雾边缘出现异常迹象。 发生地点：深林祭坛。,深入 / 观察 / 返回,光源、精神、方向
W07_EVT_014,W07_N04,探索,探索事件6,迷雾边缘出现异常迹象。 发生地点：黑松林。,深入 / 观察 / 返回,光源、精神、方向
W07_EVT_015,W07_N10,探索,探索事件7,迷雾边缘出现异常迹象。 发生地点：旧村落。,深入 / 观察 / 返回,光源、精神、方向
W07_EVT_016,W07_N16,探索,探索事件8,迷雾边缘出现异常迹象。 发生地点：倒置路标。,深入 / 观察 / 返回,光源、精神、方向
W07_EVT_017,W07_N14,天气,天气事件1,环境条件迅速恶化。 发生地点：发光菌洞。,避难 / 抢时间 / 改变路线,光源、精神、方向
W07_EVT_018,W07_N20,天气,天气事件2,环境条件迅速恶化。 发生地点：山脊。,避难 / 抢时间 / 改变路线,光源、精神、方向
W07_EVT_019,W07_N02,天气,天气事件3,环境条件迅速恶化。 发生地点：旧木屋。,避难 / 抢时间 / 改变路线,光源、精神、方向
W07_EVT_020,W07_N08,天气,天气事件4,环境条件迅速恶化。 发生地点：钟楼废墟。,避难 / 抢时间 / 改变路线,光源、精神、方向
W07_EVT_021,W07_N14,天气,天气事件5,环境条件迅速恶化。 发生地点：发光菌洞。,避难 / 抢时间 / 改变路线,光源、精神、方向
W07_EVT_022,W07_N20,天气,天气事件6,环境条件迅速恶化。 发生地点：山脊。,避难 / 抢时间 / 改变路线,光源、精神、方向
W07_EVT_023,W07_N02,天气,天气事件7,环境条件迅速恶化。 发生地点：旧木屋。,避难 / 抢时间 / 改变路线,光源、精神、方向
W07_EVT_024,W07_N08,天气,天气事件8,环境条件迅速恶化。 发生地点：钟楼废墟。,避难 / 抢时间 / 改变路线,光源、精神、方向
W07_EVT_025,W07_N06,NPC,NPC事件1,遇到一个无法完全判断意图的人。 发生地点：石桥。,帮助 / 交易 / 保持距离,光源、精神、方向
W07_EVT_026,W07_N12,NPC,NPC事件2,遇到一个无法完全判断意图的人。 发生地点：铁路遗迹。,帮助 / 交易 / 保持距离,光源、精神、方向
W07_EVT_027,W07_N18,NPC,NPC事件3,遇到一个无法完全判断意图的人。 发生地点：守林站。,帮助 / 交易 / 保持距离,光源、精神、方向
W07_EVT_028,W07_N24,NPC,NPC事件4,遇到一个无法完全判断意图的人。 发生地点：晨光塔。,帮助 / 交易 / 保持距离,光源、精神、方向
W07_EVT_029,W07_N06,NPC,NPC事件5,遇到一个无法完全判断意图的人。 发生地点：石桥。,帮助 / 交易 / 保持距离,光源、精神、方向
W07_EVT_030,W07_N12,NPC,NPC事件6,遇到一个无法完全判断意图的人。 发生地点：铁路遗迹。,帮助 / 交易 / 保持距离,光源、精神、方向
W07_EVT_031,W07_N18,NPC,NPC事件7,遇到一个无法完全判断意图的人。 发生地点：守林站。,帮助 / 交易 / 保持距离,光源、精神、方向
W07_EVT_032,W07_N24,NPC,NPC事件8,遇到一个无法完全判断意图的人。 发生地点：晨光塔。,帮助 / 交易 / 保持距离,光源、精神、方向
