route_id,route_name,stage,description
RAFT,木筏逃生,1,发现沉船或旧码头，获得可行的船体/木筏思路。
RAFT,木筏逃生,2,取得大量木材与绳索来源。
RAFT,木筏逃生,3,找到帆布，或用布料与藤蔓制作替代帆。
RAFT,木筏逃生,4,获取指南针；没有指南针时必须取得海流观察和风向两类信息。
RAFT,木筏逃生,5,准备至少数日食物与安全淡水。
RAFT,木筏逃生,6,通过北岸深水点或海流观察点判断出海窗口。
RAFT,木筏逃生,7,选择是否等待更好的天气；等待会增加生存消耗。
RAFT,木筏逃生,8,进入海上终局事件，依据准备程度、NPC、天气和随机因素判定多个结局。
RADIO,无线电求救,1,在飞机或广播塔发现损坏通讯设备。
RADIO,无线电求救,2,取得电线、电池和必要电子零件。
RADIO,无线电求救,3,进入研究站寻找频率表或从 NPC 获得频率知识。
RADIO,无线电求救,4,解决发电问题：电池临时供电或修复发电机。
RADIO,无线电求救,5,在广播塔/紧急天线阵列安装天线。
RADIO,无线电求救,6,尝试发射；第一次可能只收到模糊回应。
RADIO,无线电求救,7,维持营地生存并等待合适天气/救援窗口。
RADIO,无线电求救,8,完成确认通讯并进入救援终局。
SIGNAL,山顶信号火,1,从高地或旧观测哨确认山顶平台。
SIGNAL,山顶信号火,2,修复/绕过通往山顶的危险路线。
SIGNAL,山顶信号火,3,储备大量干木材、燃料与可制造烟雾的材料。
SIGNAL,山顶信号火,4,获得天气预测能力，避免暴雨直接摧毁准备。
SIGNAL,山顶信号火,5,在山顶完成大型信号堆。
SIGNAL,山顶信号火,6,观察海空活动；没有观察工具时等待时间更长。
SIGNAL,山顶信号火,7,在正确时间点燃并维持信号。
SIGNAL,山顶信号火,8,进入被发现、错过、事故或特殊救援结局。
BOAT,修复旧船,1,发现旧码头和搁浅摩托艇。
BOAT,修复旧船,2,检查发动机，确认缺失零件。
BOAT,修复旧船,3,从沉船/研究站收集发动机零件。
BOAT,修复旧船,4,找到燃料储藏棚并安全取得燃料。
BOAT,修复旧船,5,修复船体漏水问题。
BOAT,修复旧船,6,取得指南针或航海记录。
BOAT,修复旧船,7,邀请懂船的 NPC 可降低故障概率。
BOAT,修复旧船,8,发动船只并进入海上终局。
RESCUE,等待正式救援,1,调查黑匣子/乘员名单，确认事故信息。
RESCUE,等待正式救援,2,找到临时救援标记或搜索队痕迹。
RESCUE,等待正式救援,3,维持一个稳定营地，避免频繁迁移造成错过。
RESCUE,等待正式救援,4,在海滩维持可见标记。
RESCUE,等待正式救援,5,通过观测哨掌握可能的飞机/船只活动。
RESCUE,等待正式救援,6,处理一次‘疑似救援错过’事件，选择追逐或继续守候。
RESCUE,等待正式救援,7,提高救援可发现度：烟、反光、无线电任一。
RESCUE,等待正式救援,8,触发正式搜救终局。
SECRET,岛屿真相,1,收集至少两类异常线索：黑匣子、墓地、旧营、研究日志。
SECRET,岛屿真相,2,进入研究站实验室并获得关键日志。
SECRET,岛屿真相,3,发现地下通道入口。
SECRET,岛屿真相,4,恢复地下发电机或找到备用进入方式。
SECRET,岛屿真相,5,进入地下观测室，发现岛屿异常记录。
SECRET,岛屿真相,6,识别‘守望者’或相关隐藏 Flag。
SECRET,岛屿真相,7,选择公开真相、摧毁资料、继续调查或离开。
SECRET,岛屿真相,8,进入多个世界真相结局。
