node_id,name,risk,resources,note
W08_N01,白色房间,极高,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N02,模拟海滩,高,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N03,重复走廊,中,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N04,测试森林,低,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N05,观察窗,极高,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N06,控制室A,高,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N07,控制室B,中,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N08,编号宿舍,低,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N09,假研究站,极高,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N10,错误节点,高,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N11,数据井,中,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N12,服务通道,低,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N13,记忆室,极高,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N14,备份舱,高,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N15,旧实验区,中,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N16,主服务器,低,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N17,人员档案库,极高,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N18,行为观测室,高,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N19,清除区,中,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N20,紧急出口,低,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N21,镜像地图,极高,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N22,模拟边界,高,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N23,核心控制层,中,规则异常、记忆、身份相关资源/线索,世界专属节点
W08_N24,真实出口,低,规则异常、记忆、身份相关资源/线索,世界专属节点
