event_id,node_id,category,title,description,day_min,choices,possible_effects
W01_EVT_001,W01_N08,海滩,漂流物·1,在潮线附近发现新的漂流物。 这一次发生在「干涸溪床」，环境和你之前见过的情况略有不同。,2,立即搜索 / 先检查周围 / 放弃,物资；风险；无事
W01_EVT_002,W01_N16,海滩,漂流物·2,在潮线附近发现新的漂流物。 这一次发生在「沉船外滩」，环境和你之前见过的情况略有不同。,4,立即搜索 / 先检查周围 / 放弃,物资；风险；无事
W01_EVT_003,W01_N24,海滩,漂流物·3,在潮线附近发现新的漂流物。 这一次发生在「山顶平台」，环境和你之前见过的情况略有不同。,6,立即搜索 / 先检查周围 / 放弃,物资；风险；无事
W01_EVT_004,W01_N32,海滩,漂流物·4,在潮线附近发现新的漂流物。 这一次发生在「研究站实验室」，环境和你之前见过的情况略有不同。,8,立即搜索 / 先检查周围 / 放弃,物资；风险；无事
W01_EVT_005,W01_N40,海滩,漂流物·5,在潮线附近发现新的漂流物。 这一次发生在「东部礁湖」，环境和你之前见过的情况略有不同。,10,立即搜索 / 先检查周围 / 放弃,物资；风险；无事
W01_EVT_006,W01_N48,海滩,漂流物·6,在潮线附近发现新的漂流物。 这一次发生在「旧观测哨」，环境和你之前见过的情况略有不同。,12,立即搜索 / 先检查周围 / 放弃,物资；风险；无事
W01_EVT_007,W01_N56,海滩,漂流物·7,在潮线附近发现新的漂流物。 这一次发生在「紧急天线阵列」，环境和你之前见过的情况略有不同。,2,立即搜索 / 先检查周围 / 放弃,物资；风险；无事
W01_EVT_008,W01_N04,海滩,漂流物·8,在潮线附近发现新的漂流物。 这一次发生在「飞机尾翼区」，环境和你之前见过的情况略有不同。,4,立即搜索 / 先检查周围 / 放弃,物资；风险；无事
W01_EVT_009,W01_N12,海滩,漂流物·9,在潮线附近发现新的漂流物。 这一次发生在「断桥谷地」，环境和你之前见过的情况略有不同。,6,立即搜索 / 先检查周围 / 放弃,物资；风险；无事
W01_EVT_010,W01_N20,海滩,漂流物·10,在潮线附近发现新的漂流物。 这一次发生在「石灰岩洞」，环境和你之前见过的情况略有不同。,8,立即搜索 / 先检查周围 / 放弃,物资；风险；无事
