node_id,name,risk,resources,note
W03_N01,黑沙海滩,极高,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N02,椰林营地,高,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N03,熔岩旧道,中,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N04,地热泉,低,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N05,火山观测站,极高,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N06,灰烬森林,高,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N07,熔岩隧道,中,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N08,硫磺谷,低,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N09,断裂码头,极高,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N10,旧渡船,高,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N11,避难洞,中,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N12,火山口外缘,低,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N13,废弃村落,极高,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N14,蓄水池,高,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N15,地震裂谷,中,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N16,通信桅杆,低,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N17,海蚀洞,极高,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N18,熔岩冷却带,高,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N19,喷气孔区,中,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N20,研究营,低,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N21,高地避难所,极高,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N22,岛间浅滩,高,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N23,灾害仓库,中,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
W03_N24,观测峰,低,火山活动等级、毒气、路线变化相关资源/线索,世界专属节点
