route_id,name,stage,description
R1,修复游艇,1,通过探索发现「修复游艇」相关第一条线索。
R1,修复游艇,2,确认路线可行性并获得至少一个关键地点。
R1,修复游艇,3,解决本世界核心压力：潮汐、燃料、净水。
R1,修复游艇,4,收集路线所需资源，并面对一次替代选择。
R1,修复游艇,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R1,修复游艇,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R2,点亮灯塔,1,通过探索发现「点亮灯塔」相关第一条线索。
R2,点亮灯塔,2,确认路线可行性并获得至少一个关键地点。
R2,点亮灯塔,3,解决本世界核心压力：潮汐、燃料、净水。
R2,点亮灯塔,4,收集路线所需资源，并面对一次替代选择。
R2,点亮灯塔,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R2,点亮灯塔,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R3,加入海上聚落,1,通过探索发现「加入海上聚落」相关第一条线索。
R3,加入海上聚落,2,确认路线可行性并获得至少一个关键地点。
R3,加入海上聚落,3,解决本世界核心压力：潮汐、燃料、净水。
R3,加入海上聚落,4,收集路线所需资源，并面对一次替代选择。
R3,加入海上聚落,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R3,加入海上聚落,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
R4,潜入核心设施,1,通过探索发现「潜入核心设施」相关第一条线索。
R4,潜入核心设施,2,确认路线可行性并获得至少一个关键地点。
R4,潜入核心设施,3,解决本世界核心压力：潮汐、燃料、净水。
R4,潜入核心设施,4,收集路线所需资源，并面对一次替代选择。
R4,潜入核心设施,5,完成关键准备；此时允许切换到其他路线但会有沉没成本。
R4,潜入核心设施,6,进入终局事件，根据准备、世界状态、NPC与随机权重进入不同结局。
